Aff,Neg,Judges,Votes,Result
Northwestern FW,Kansas MR,"Miles Gray																																		Viveth Karthikeyan																																		Valerie McIntosh","Neg																												Aff																												Neg","2-1																															NEG"
Michigan PS,Michigan PR,,,
