Aff,Neg,Judges,Votes,Result
Minnesota FR,Fullerton MG,"Natalie Bennie																																		Lauren Pepper																																		Brendon Bankey","Aff																												Aff																												Aff","3-0																															AFF"
Michigan State AM,Samford GT,"Talya Slaw																																		Brett Bricker																																		Brandon Kelley","Aff																												Aff																												Aff","3-0																															AFF"
Michigan DN,Samford EG,"Tyler Thur																																		Connor Munsinger																																		Brian DeLong","Neg																												Neg																												Neg","3-0																															NEG"
Wake Forest KT,Texas CR,"Darcell Brown																																		Hunter McCullough																																		Ovais Inamullah","Aff																												Neg																												Neg","2-1																															NEG"
Navy LR,Michigan HM,"Lee Quinn																																		Will Katz																																		Adrienne Brovero","Neg																												Neg																												Neg","3-0																															NEG"
Michigan HS,Kansas SW,"Ryan Galloway																																		Tom Gliniecki																																		Ron Stevenson","Neg																												Neg																												Neg","3-0																															NEG"
Georgetown LW,Georgetown AG,,Georgetown LW advances,Georgetown LW advances
Kansas LM,UNLV RR,"Mikaela Malsin																																		Caitlin Walrath																																		Terrell Taylor","Neg																												Neg																												Neg","3-0																															NEG"
