Aff,Neg,Judges,Votes,Result
Minnesota FM,UT Dallas PK,"Pablo Gannon																																		Jackie Poapst																																		Ian Lowery","Aff																												Aff																												Neg","2-1																															AFF"
James Madison HS,Wyoming PP,"Deven Cooper																																		Jaysyn Green																																		Will Baker","Aff																												Aff																												Aff","3-0																															AFF"
Columbia/Boston Uni PC,,,,
Georgetown LN,,,,
Minnesota/Columbia JD,,,,
George Mason JT,,,,
NYU HP,,,,
Minnesota PR,,,,
