Aff,Neg,Judges,Votes,Result
Louisville Bryant & Yeargin,Michigan Pierry & Rabbini,"Bee Smale																																		Ryan Galloway																																		Pirzada Ahmad																																		David Kilpatrick																																		Kevin Clarke","Neg																												Neg																												Neg																												Neg																												Neg","5-0																															NEG"
Michigan margolin & Muse,UC Berkeley Bellavita & Wimsatt,"Brian DeLong																																		Casey Harrigan																																		Mikaela Malsin																																		Harry Aaronson																																		Jeff Buntin","Neg																												Aff																												Neg																												Aff																												Neg","3-2																															NEG"
Rutgers-Newark Asafu-Adjaye & hemnarine,Dartmouth Tambe & Vergho,"Sean Kennedy																																		Corey Fisher																																		Tripp Rebrovick																																		Kevin Hirn																																		Ben Crossan","Neg																												Aff																												Aff																												Neg																												Neg","3-2																															NEG"
Texas Desai & Watts,Harvard Aoki & Farronay,"Taylor Brough																																		Kenny Delph																																		Caitlin Walrath																																		Brian Rubaie																																		Dustin Meyers-Levy","Aff																												Aff																												Neg																												Aff																												Neg","3-2																															AFF"
