Aff,Neg,Judges,Votes,Result
Dartmouth GS,Cal State Fullerton WB,"Shree Awsare																																		Michael Barlow																																		Corey Fisher																																		Carlos Astacio																																		Sean Kennedy","Aff																												Neg																												Neg																												Neg																												Neg","4-1																															NEG"
Georgetown MW,Wake Forest KM,"Jeff Buntin																																		Michael Wimsatt																																		Miles Gray																																		Young Kwon																																		Danielle O'Gorman","Neg																												Neg																												Neg																												Neg																												Neg","5-0																															NEG"
Liberty CoRo,Wake Forest FH,"R C																																		Tiffany Dillard-Knox																																		chaz wyche																																		Jazmine Pickens																																		LaToya Green","Aff																												Neg																												Neg																												Aff																												Aff","3-2																															AFF"
Emory GK,Pittsburgh MO,"Richard Garner																																		Shuntà Jordan																																		Brandon Kelley																																		Brendon Bankey																																		Al Hiland","Aff																												Neg																												Neg																												Neg																												Neg","4-1																															NEG"
George Mason LM,Harvard AB,"Casey Harrigan																																		Genevieve Hackman																																		Christopher Callahan																																		Aaron Kall																																		Brett Bricker","Neg																												Neg																												Neg																												Neg																												Neg","5-0																															NEG"
Wake Forest BD,UC Berkeley EE,"Jacob Hegna																																		Mikaela Malsin																																		David Kilpatrick																																		Julia Henry																																		Alaina Walberg","Neg																												Neg																												Neg																												Aff																												Neg","4-1																															NEG"
Southern California KS,Michigan MM,"Brian Klarman																																		Nathan Fleming																																		Tripp Rebrovick																																		Douglas Husic																																		Christopher Jackson","Aff																												Aff																												Aff																												Aff																												Neg","4-1																															AFF"
Michigan PS,Kentucky DG,"Teja Leburu																																		Harry Aaronson																																		Gabriel Morbeck																																		Tom Gliniecki																																		Brad Meloche","Aff																												Aff																												Aff																												Neg																												Aff","4-1																															AFF"
UC Berkeley BW,George Mason BG,"Kristen Lowe																																		Pirzada Ahmad																																		Nate Graziano																																		Nick Ryan																																		Kevin Clarke","Aff																												Aff																												Aff																												Aff																												Aff","5-0																															AFF"
Dartmouth MS,Minnesota FR,"Theo Noparstak																																		Viveth Karthikeyan																																		Gabriel Jankovsky																																		Ned Gidley																																		William Repko","Neg																												Aff																												Neg																												Neg																												Aff","3-2																															NEG"
Kansas MR,Pittsburgh LR,"Joe Weideman																																		Matt Liu																																		Michelle Borbon																																		Connor Munsinger																																		Ryan Galloway","Aff																												Aff																												Aff																												Aff																												Aff","5-0																															AFF"
Kansas BF,,,Aff BYE,Aff BYE
Michigan PR,,,Aff BYE,Aff BYE
Kansas MS,,,Aff BYE,Aff BYE
Dartmouth TV,,,Aff BYE,Aff BYE
Northwestern FW,,,Aff BYE,Aff BYE
