Aff,Neg,Judges,Votes,Result
NYU ST,UniSta HS,"Chinnel Williams																																		Ellen Baker																																		Emily Schwab","Aff																												Aff																												Aff","3-0																															AFF"
Columb/UniSta DD,UniSta GT,,Columb/UniSta DD advances,Columb/UniSta DD advances
