Aff,Neg,Judges,Votes,Result,"Aff								Points","Neg								Points"
Michigan State Adair & Meloche,Wayne State Bagdon & Reynolds,"Kegan Ferguson																																		Brian Rubaie																																		Henry Ferolie","Aff																												Aff																												Aff","3-0																															AFF","Duvall A																																																												29																																								29																																								29																																																																												Piper M																																																												29																																								29																																								29","Brandon R																																																												29																																								29																																								28																																																																												Luke B																																																												29																																								29																																								28"
Michigan State Glancy & Koster,Northwestern Landgraff & Stamenkovic Diez,"Cameron Dehmlow Dunne																																		Josh Lamet																																		Kurt Fifelski","Aff																												Aff																												Aff","3-0																															AFF","David K																																																												29																																								29																																								29																																																																												Nathan G																																																												29																																								29																																								29","Jack L																																																												29																																								29																																								29																																																																												Nikola (Nik) S																																																												29																																								29																																								29"
Michigan State Scott & Van Zant,Indiana Holland & Oluwayomi,"Allegro Wang																																		Jamie Snoddy																																		Sydney Pasquinelli","Neg																												Aff																												Neg","2-1																															NEG","Wajeeha K																																																												28																																								30																																								28																																																																												Madelynn V																																																												28																																								30																																								28","Janet O																																																												28																																								30																																								29																																																																												Payton H																																																												28																																								29																																								28"
Michigan State Grossman & Serrins,Wayne State Mckenzie & Roumayah,"Jeff Buntin																																		Hayden Uihlein																																		Kristiana Baez","Aff																												Aff																												Aff","3-0																															AFF","Lena G																																																												29																																								29																																								29																																																																												Ezra S																																																												29																																								29																																								29","Kiara R																																																												29																																								29																																								29																																																																												Tatianna M																																																												29																																								29																																								29"
Indiana Jasani & Gupta,Purdue Joseph & Sidhu,"Teja Leburu																																		Brad Meloche																																		Faroz Mujir","Neg																												Neg																												Neg","3-0																															NEG","Mehul G																																																												29																																								29																																								29																																																																												Aryan J																																																												29																																								28																																								29","Imaan S																																																												29																																								29																																								29																																																																												Daniel J																																																												29																																								29																																								29"
