Aff,Neg,Judges,Votes,Result
James Madison HS,Columbia/Boston Uni PC,"Brent Lamb																																		Jaysyn Green																																		Will Baker","Aff																												Aff																												Neg","2-1																															AFF"
Minnesota FM,Georgetown LN,"Adrienne Brovero																																		Pablo Gannon																																		Ian Lowery","Neg																												Neg																												Neg","3-0																															NEG"
Minnesota/Columbia JD,Minnesota PR,,Minnesota/Columbia JD advances,Minnesota/Columbia JD advances
NYU HP,George Mason JT,"Jada Stinnett																																		Joe Leeson-Schatz																																		Allegro Wang","Neg																												Aff																												Aff","2-1																															AFF"
