Aff,Neg,Judges,Votes,Result
Michigan State GS,UC Berkeley EE,"Gabriel Morbeck																																		Young Kwon																																		Ezra Louvis																																		Jeff Buntin																																		Eric Forslund","Aff																												Aff																												Aff																												Aff																												Aff","5-0																															AFF"
Emory GK,Georgetown EN,"Nathan Fleming																																		Michael Wimsatt																																		Carly Wunderlich																																		Ashton Smith																																		Gabriel Jankovsky","Aff																												Aff																												Aff																												Aff																												Aff","5-0																															AFF"
UC Berkeley BW,Kentucky DG,"Nathan Rothenbaum																																		John Katsulas																																		Connor Munsinger																																		Tom Gliniecki																																		Teja Leburu","Aff																												Neg																												Aff																												Neg																												Neg","3-2																															NEG"
Michigan RV,Harvard AF,"Bruce Najor																																		Shuntà Jordan																																		Jackie Poapst																																		Josh Lamet																																		Flynn Makuch","Neg																												Aff																												Neg																												Neg																												Neg","4-1																															NEG"
Georgetown MW,Dartmouth MS,"Casey Harrigan																																		Viveth Karthikeyan																																		Dallas Perkins																																		Theo Noparstak																																		Cameron Dehmlow Dunne","Aff																												Aff																												Aff																												Aff																												Neg","4-1																															AFF"
Kansas BF,Dartmouth TV,"Sarah Lundeen																																		Michelle Borbon																																		Corey Fisher																																		Devane Murphy																																		Adam Symonds","Neg																												Neg																												Aff																												Aff																												Neg","3-2																															NEG"
Northwestern LW,Rutgers-Newark AH,"Brian Klarman																																		Rebecca Steiner																																		Christopher Jackson																																		Tripp Rebrovick																																		Jake Lee","Neg																												Neg																												Neg																												Neg																												Neg","5-0																															NEG"
Michigan PS,Pittsburgh OM,"Justin Green																																		Nick Lepp																																		Michelle Thomas																																		Nate Graziano																																		Armands Revelins","Aff																												Aff																												Aff																												Neg																												Aff","4-1																															AFF"
Emory PR,Michigan PR,"Anthony Trufanov																																		Pablo Gannon																																		Brandon Kelley																																		Harry Aaronson																																		Habiba Ahmed","Neg																												Neg																												Neg																												Neg																												Neg","5-0																															NEG"
UNLV RR,Louisville BY,"Edward Lee																																		Dillon Johnson																																		Alaina Walberg																																		Richard Garner																																		Sam Allen","Aff																												Neg																												Neg																												Aff																												Neg","3-2																															NEG"
Trinity GN,Central Oklahoma CH,"Will Katz																																		John Turner																																		Scott Phillips																																		Daniel Stanfield																																		Brian DeLong","Neg																												Aff																												Neg																												Neg																												Aff","3-2																															NEG"
Harvard OY,Michigan MM,"Chris Loghry																																		Jason Regnier																																		James Mollison																																		Kevin Clarke																																		Thomas Buttgereit","Neg																												Aff																												Neg																												Aff																												Neg","3-2																															NEG"
Texas DW,Kansas SM,"Brian Rubaie																																		Anthony Joseph																																		Kristen Lowe																																		Kevin Hirn																																		Dustin Meyers-Levy","Neg																												Neg																												Neg																												Aff																												Aff","3-2																															NEG"
Emory MS,Wake Forest BD,"Julia Henry																																		Ian Dill																																		Austin Oliver																																		Parker Coon																																		Lauren Johnson","Neg																												Neg																												Neg																												Aff																												Neg","4-1																															NEG"
Kentucky EI,Harvard AH,"Allison Harper																																		Michael Klinger																																		Miles Gray																																		Zahir Shaikh																																		Brett Bricker","Aff																												Neg																												Aff																												Aff																												Neg","3-2																															AFF"
Wake Forest FH,Liberty WW,"Shree Awsare																																		Calum Matheson																																		Brandon Boyce																																		Jacob Hegna																																		Carlos Astacio","Neg																												Aff																												Aff																												Neg																												Aff","3-2																															AFF"
