Aff,Neg,Judges,Votes,Result,"Aff								Points","Neg								Points"
Georgetown LM,Texas HN,"Pirzada Ahmad																																		Dustin Meyers-Levy																																		Patrick Kennedy","Aff																												Aff																												Aff","3-0																															AFF","Katherine M																																																												29																																								29																																								28																																																																												Kieran L																																																												29																																								29																																								28","Samantha H																																																												28																																								29																																								28																																																																												Ben N																																																												28																																								28																																								28"
Kansas MS,Southwestern AG,"Habiba Ahmed																																		Anthony Joseph																																		Matt Coleman","Neg																												Aff																												Aff","2-1																															AFF","Michael S																																																												29																																								28																																								29																																																																												Mickey M																																																												29																																								29																																								29","Joaquin A																																																												29																																								29																																								29																																																																												Khamani G																																																												29																																								29																																								29"
Navy LR,Emporia State KS,"Andrew Allsup																																		Alec Bellis																																		Izak Gallini-Matyas","Neg																												Neg																												Neg","3-0																															NEG","Will L																																																												28																																								29																																								29																																																																												Kathleen R																																																												29																																								29																																								29","Keryk K																																																												29																																								29																																								29																																																																												Niko S																																																												29																																								29																																								29"
Pittsburgh MO,George Mason BG,"Carlos Astacio																																		Beau Larsen																																		Jyleesa Hampton","Aff																												Aff																												Neg","2-1																															AFF","Kwudjwa O																																																												29																																								29																																								29																																																																												Christian M																																																												29																																								29																																								29","Ky B																																																												29																																								29																																								30																																																																												Noah G																																																												29																																								29																																								29"
Western Washington AH,Harvard OY,"Michael Barlow																																		Bee Smale																																		Ignacio Evans","Neg																												Neg																												Neg","3-0																															NEG","Cameron A																																																												29																																								29																																								29																																																																												Lydia H																																																												28																																								29																																								29","Lynn Y																																																												29																																								29																																								29																																																																												Oge O																																																												29																																								29																																								29"
UC Berkeley BW,Minnesota FR,"Jeff Buntin																																		Jacob Hegna																																		Young Kwon","Aff																												Aff																												Aff","3-0																															AFF","Katie W																																																												29																																								29																																								29																																																																												Julian B																																																												29																																								29																																								30","Josiah F																																																												29																																								29																																								29																																																																												Bryce R																																																												29																																								29																																								29"
Louisville BD,Rochester MA,"Thomas Buttgereit																																		Quaram Robinson																																		Allie Chase","Neg																												Aff																												Neg","2-1																															NEG","Jahne B																																																												29																																								29																																								29																																																																												Acia D																																																												29																																								29																																								29","Ben M																																																												29																																								29																																								29																																																																												Ali A																																																												29																																								29																																								29"
James Madison HS,Central Oklahoma CH,"Tiffany Dillard-Knox																																		chaz wyche																																		Shanara Reid-Brinkley","Aff																												Aff																												Aff","3-0																															AFF","Ashley H																																																												29																																								29																																								29																																																																												Aubree S																																																												29																																								29																																								29","Grant C																																																												29																																								29																																								29																																																																												Zach H																																																												29																																								29																																								28"
Missouri State EG,Wyoming KP,"Nathan Fleming																																		Joe Skoog																																		Brett Bricker","Neg																												Neg																												Neg","3-0																															NEG","Clayton E																																																												28																																								29																																								29																																																																												Oliver G																																																												28																																								29																																								29","Mack K																																																												28																																								29																																								29																																																																												Ec P																																																												28																																								29																																								28"
Dartmouth GS,Michigan State GS,"Lincoln Garrett																																		Dallas Perkins																																		Ezra Louvis","Aff																												Aff																												Neg","2-1																															AFF","Ali S																																																												29																																								29																																								29																																																																												Madeline G																																																												29																																								29																																								29","Lena G																																																												29																																								29																																								29																																																																												Ezra S																																																												29																																								29																																								29"
