Aff,Neg,Judges,Votes,Result,"Aff								Points","Neg								Points"
Indiana Holland & Oluwayomi,Michigan State Glancy & Koster,"Matt Cavnar-Johnson																																		Douglas Husic																																		Henry Ferolie","Neg																												Neg																												Neg","3-0																															NEG","Janet O																																																												29																																								29																																								29																																																																												Payton H																																																												28																																								29																																								28","David K																																																												29																																								29																																								28																																																																												Nathan G																																																												29																																								29																																								29"
Wayne State Mckenzie & Roumayah,Michigan State Scott & Van Zant,"Theo Noparstak																																		Jamie Snoddy																																		Kegan Ferguson","Aff																												Aff																												Aff","3-0																															AFF","Kiara R																																																												28																																								30																																								29																																																																												Tatianna M																																																												28																																								30																																								29","Wajeeha K																																																												28																																								29																																								28																																																																												Madelynn V																																																												28																																								30																																								28"
Purdue Joseph & Sidhu,Michigan State Grossman & Serrins,"Jacob Hegna																																		Allegro Wang																																		Tyler Snelling","Neg																												Neg																												Aff","2-1																															NEG","Imaan S																																																												29																																								29																																								29																																																																												Daniel J																																																												29																																								29																																								29","Lena G																																																												29																																								29																																								29																																																																												Ezra S																																																												29																																								29																																								29"
Wayne State Bagdon & Reynolds,Indiana Jasani & Gupta,"Eric Lanning																																		Josh Lamet																																		Brian Rubaie","Aff																												Neg																												Aff","2-1																															AFF","Brandon R																																																												29																																								28																																								29																																																																												Luke B																																																												29																																								28																																								29","Mehul G																																																												29																																								28																																								29																																																																												Aryan J																																																												28																																								28																																								28"
Northwestern Landgraff & Stamenkovic Diez,Michigan State Adair & Meloche,"Cameron Dehmlow Dunne																																		David Cram Helwich																																		Kristiana Baez","Neg																												Neg																												Neg","3-0																															NEG","Jack L																																																												29																																								29																																								29																																																																												Nikola (Nik) S																																																												28																																								29																																								28","Duvall A																																																												29																																								29																																								29																																																																												Piper M																																																												29																																								29																																								29"
