Aff,Neg,Judges,Votes,Result
Kansas MR,Rutgers-Newark AH,"Darcell Brown																																		John Turner																																		Kevin Hirn																																		Dustin Meyers-Levy																																		Reece Aguilar","Neg																												Aff																												Aff																												Aff																												Aff","4-1																															AFF"
Michigan MM,Kansas MS,"Theo Noparstak																																		David Cram Helwich																																		Maggie Solice																																		Joe Weideman																																		Nathan Fleming","Neg																												Aff																												Neg																												Aff																												Aff","3-2																															AFF"
George Mason MD,Michigan PR,"Jeff Buntin																																		Brett Bricker																																		Michael Klinger																																		Michael Wimsatt																																		Justin Green","Neg																												Aff																												Neg																												Neg																												Neg","4-1																															NEG"
West Georgia DS,Cal State Fullerton BW,"Kenny Delph																																		Taylor Brough																																		Amber Kelsie																																		Tiffany Dillard-Knox																																		Carlos Astacio","Neg																												Neg																												Neg																												Neg																												Neg","5-0																															NEG"
Emory PR,Wake Forest CT,"Michelle Borbon																																		Julia Henry																																		Alaina Walberg																																		Devane Murphy																																		Matthew Moore","Neg																												Neg																												Neg																												Neg																												Neg","5-0																															NEG"
Kansas BF,Harvard AH,"Tommye Weddington																																		Bee Smale																																		Will Baker","Aff																												Aff																												Aff","3-0																															AFF"
Louisville BY,Dartmouth TV,"Corey Fisher																																		Willie Johnson																																		Geoff Lundeen																																		David Kilpatrick																																		Sean Kennedy","Neg																												Neg																												Neg																												Neg																												Neg","5-0																															NEG"
Northwestern FW,UC Berkeley EE,"Johnnie Stupek																																		Danielle O'Gorman																																		Michael Cerny																																		Young Kwon																																		Will Katz","Aff																												Aff																												Neg																												Aff																												Aff","4-1																															AFF"
