Aff,Neg,Judges,Votes,Result
Minnesota PR,UC Berkeley BW,"Lee Quinn																																		Kevin Hirn																																		Dustin Meyers-Levy","Neg																												Neg																												Aff","2-1																															NEG"
Dartmouth SS,George Mason LM,"Tom Gliniecki																																		Ned Gidley																																		Valerie McIntosh","Aff																												Aff																												Neg","2-1																															AFF"
UNLV RR,Michigan PS,"Nathan Fleming																																		Miles Gray																																		Alex Brown","Neg																												Neg																												Neg","3-0																															NEG"
Michigan MM,Michigan HS,,Michigan MM advances,Michigan MM advances
