Aff,Neg,Judges,Votes,Result
Michigan PS,Kentucky DG,"Lee Quinn																																		Mikaela Malsin																																		John Turner","Neg																												Aff																												Neg","2-1																															NEG"
CSU Long Beach CF,Minnesota FR,"Eric Morris																																		Allison Harper																																		Jenna Bauer","Aff																												Aff																												Neg","2-1																															AFF"
