Aff,Neg,Judges,Votes,Result
Northwestern FW,Michigan MM,"Danielle O'Gorman																																		John Turner																																		Will Katz																																		Julia Henry																																		Armands Revelins","Aff																												Aff																												Neg																												Aff																												Aff","4-1																															AFF"
Michigan PR,Dartmouth TV,"Theo Noparstak																																		Brett Bricker																																		Joe Weideman																																		Lauren Pepper																																		Justin Green","Aff																												Aff																												Aff																												Aff																												Aff","5-0																															AFF"
