Aff,Neg,Judges,Votes,Result
Rutgers-Newark AH,Louisville BY,"Amber Kelsie																																		Corey Fisher																																		Beau Larsen																																		Taylor Brough																																		Leigha Maddy","Aff																												Aff																												Aff																												Aff																												Aff","5-0																															AFF"
Michigan PR,Michigan PS,,,
Wake Forest FH,Kansas SM,"Michelle Thomas																																		David Kilpatrick																																		Mikaela Malsin																																		Jesse Keleman																																		Michelle Borbon","Neg																												Aff																												Aff																												Neg																												Aff","3-2																															AFF"
Kentucky DG,Wake Forest BD,"Allison Harper																																		Shree Awsare																																		Jackie Poapst																																		Julia Henry																																		Ian Dill","Neg																												Aff																												Aff																												Neg																												Neg","3-2																															NEG"
Emory GK,Michigan MM,"Nathan Fleming																																		Casey Harrigan																																		Dallas Perkins																																		Jacob Hegna																																		Theo Noparstak","Neg																												Aff																												Aff																												Aff																												Aff","4-1																															AFF"
Kentucky EI,Central Oklahoma CH,"Will Katz																																		John Turner																																		Scott Phillips																																		Kenny Delph																																		Brian DeLong","Aff																												Aff																												Aff																												Neg																												Aff","4-1																															AFF"
Georgetown MW,Harvard AF,"Bruce Najor																																		Shuntà Jordan																																		David Cram Helwich																																		Devane Murphy																																		Kevin Hirn","Aff																												Aff																												Aff																												Aff																												Aff","5-0																															AFF"
Michigan State GS,Dartmouth TV,"Miles Gray																																		Anthony Trufanov																																		Brandon Kelley																																		Ezra Louvis																																		Teja Leburu","Neg																												Aff																												Neg																												Neg																												Neg","4-1																															NEG"
