Aff,Neg,Judges,Votes,Result
Kansas SP,Michigan State AM,"Michael Wimsatt																																		Jackie Poapst																																		Young Kwon","Neg																												Neg																												Neg","3-0																															NEG"
Georgetown NL,Kansas MP,"Lincoln Garrett																																		Kevin Hirn																																		Dustin Meyers-Levy","Neg																												Neg																												Neg","3-0																															NEG"
UC Berkeley FQ,Minnesota FJ,"Lee Quinn																																		Will Katz																																		Allison Harper","Neg																												Neg																												Neg","3-0																															NEG"
Michigan RV,Kansas SoMa,"Dillon Johnson																																		Tyler Thur																																		Alex Brown","Neg																												Aff																												Aff","2-1																															AFF"
Liberty CR,Wichita State BL,"Eric Lanning																																		Rob Glass																																		Caitlin Walrath","Aff																												Aff																												Neg","2-1																															AFF"
Michigan State BK,Michigan HM,"Adam Lee																																		Brian DeLong																																		David Kilpatrick","Neg																												Neg																												Aff","2-1																															NEG"
UC Berkeley BW,,,,
Samford EG,,,,
Dartmouth SS,,,,
Michigan PS,,,,
Michigan MM,,,,
Michigan HS,,,,
UNLV RR,,,,
George Mason LM,,,,
UC Berkeley EE,,,,
Minnesota PR,,,,
