Aff,Neg,Judges,Votes,Result
Liberty CoRo,George Mason LM,"Anthony Ogbuli																																		Quaram Robinson																																		Jason Regnier","Aff																												Neg																												Neg","2-1																															NEG"
Liberty WW,Wake Forest RS,"Andrew Hart																																		Andrew Allsup																																		Jackie Poapst","Neg																												Aff																												Aff","2-1																															AFF"
Pittsburgh LR,Dartmouth WE,,"Aff BYE																									Neg FFT","Aff BYE																									Neg FFT"
Wake Forest PA,,,,
Pittsburgh AS,,,,
Minnesota PR,,,,
Gonzaga HM,,,,
Wake Forest KT,,,,
