Aff,Neg,Judges,Votes,Result
George Mason BG,George Mason SI,,George Mason BG advances,George Mason BG advances
George Mason TJ,Navy LR,"Adam R. Lee																																		Henry Ferolie																																		Will Baker","Neg																												Aff																												Aff","2-1																															AFF"
