Aff,Neg,Judges,Votes,Result
Dartmouth TV,UC Berkeley BW,"Carly Wunderlich																																		Kevin Hirn																																		Jacob Hegna","Aff																												Aff																												Neg","2-1																															AFF"
West Georgia DS,NYU ST,"Corey Fisher																																		Brianna Thomas																																		Jazmine Pickens","Aff																												Aff																												Neg","2-1																															AFF"
George Mason DM,Harvard AF,"Brian Rubaie																																		Jason Regnier																																		Sarah Lundeen","Neg																												Aff																												Neg","2-1																															NEG"
Harvard AH,UT Dallas KB,"Michael Klinger																																		Casey Harrigan																																		Whit Whitmore","Aff																												Aff																												Aff","3-0																															AFF"
Michigan State BK,Louisville BY,"Ryan Galloway																																		John Turner																																		David Kilpatrick","Neg																												Aff																												Aff","2-1																															AFF"
Georgetown MW,Kansas SM,"Miles Gray																																		Viveth Karthikeyan																																		Maggie Solice","Neg																												Neg																												Aff","2-1																															NEG"
Michigan PS,Kansas PS,"Brian Klarman																																		Harry Aaronson																																		Jeff Buntin","Aff																												Aff																												Aff","3-0																															AFF"
Texas CM,Michigan State GS,"Cecilia Cerja																																		Will Katz																																		Gabriel Jankovsky","Neg																												Neg																												Neg","3-0																															NEG"
Dartmouth PS,Harvard BY,"Brandon Kelley																																		Brian DeLong																																		Theo Noparstak","Aff																												Aff																												Neg","2-1																															AFF"
Harvard SU,Minnesota FR,"Allison Harper																																		Young Kwon																																		Mitch Hagney","Neg																												Neg																												Neg","3-0																															NEG"
Georgetown BM,George Mason BG,"Tripp Rebrovick																																		Devane Murphy																																		Natalie Bennie","Neg																												Neg																												Neg","3-0																															NEG"
Emory PR,Emory GM,,Emory PR advances,Emory PR advances
Michigan HS,Iowa BR,"Eric Morris																																		Anthony Trufanov																																		Phil Samuels","Neg																												Neg																												Aff","2-1																															NEG"
Texas DW,Emporia State KS,"Sean Kennedy																																		James Allan																																		Calum Matheson","Neg																												Aff																												Aff","2-1																															AFF"
Dartmouth GS,Pittsburgh MO,"Brendon Bankey																																		Richard Garner																																		Geoff Lundeen","Aff																												Aff																												Neg","2-1																															AFF"
Kentucky BL,Dartmouth MS,"Michelle Borbon																																		Ezra Louvis																																		Teja Leburu","Neg																												Neg																												Neg","3-0																															NEG"
Emory GK,,,,
Wake Forest BD,,,,
Harvard BN,,,,
Trinity GN,,,,
UC Berkeley EE,,,,
Kansas PO,,,,
Kansas BF,,,,
Samford EG,,,,
Rutgers-Newark HA,,,,
Michigan PR,,,,
Northwestern FL,,,,
Kansas MR,,,,
Wake Forest FH,,,,
Southern California KS,,,,
Wake Forest KM,,,,
Kentucky EG,,,,
