Aff,Neg,Judges,Votes,Result
Michigan State AM,Wake Forest WA,"Will Baker																																		Dillon Johnson																																		David Kilpatrick","Aff																												Aff																												Neg","2-1																															AFF"
Michigan State GS,Iowa CP,"Michelle Borbon																																		Reece Aguilar																																		Jackie Poapst","Aff																												Aff																												Aff","3-0																															AFF"
UC Berkeley WB,Emporia State KS,"Ian Dill																																		Hunter McCullough																																		Kevin Clarke","Aff																												Aff																												Aff","3-0																															AFF"
Michigan HS,Wake Forest BD,"Nathan Fleming																																		Michelle Thomas																																		Julia Henry","Aff																												Aff																												Neg","2-1																															AFF"
Minnesota JP,Pittsburgh OM,"Justin Green																																		Armands Revelins																																		Brendon Bankey","Neg																												Neg																												Neg","3-0																															NEG"
Emory GM,Michigan RV,"Genevieve Hackman																																		Maggie Solice																																		Jacob Hegna","Aff																												Aff																												Aff","3-0																															AFF"
UC Berkeley EE,Minnesota FR,"Allison Harper																																		Tyler Thur																																		Mikaela Malsin","Neg																												Neg																												Neg","3-0																															NEG"
Dartmouth GS,Gonzaga HM,"Casey Harrigan																																		David Cram Helwich																																		Theo Noparstak","Aff																												Aff																												Aff","3-0																															AFF"
Dartmouth SL,Kansas SM,"Viveth Karthikeyan																																		Ezra Louvis																																		Gabriel Jankovsky","Neg																												Neg																												Neg","3-0																															NEG"
Wayne State MR,Georgetown MW,"Brian Klarman																																		Beau Larsen																																		Sam Allen","Neg																												Neg																												Neg","3-0																															NEG"
Michigan State BK,Houston FL,"Edward Lee																																		Kevin Hirn																																		Kurt Fifelski","Neg																												Neg																												Neg","3-0																															NEG"
Wayne State/West Georgia RF,Kansas MS,"Dallas Perkins																																		Matt Liu																																		Brian Rubaie","Neg																												Neg																												Neg","3-0																															NEG"
Dartmouth SW,Missouri State RP,"Nathan Rothenbaum																																		Dustin Meyers-Levy																																		Brian DeLong","Neg																												Aff																												Aff","2-1																															AFF"
Rochester AM,Kansas SS,"Zahir Shaikh																																		Miles Gray																																		Christopher Callahan","Neg																												Neg																												Neg","3-0																															NEG"
Wyoming MR,Kentucky DG,"John Turner																																		Margaret Strong																																		Brandon Kelley","Aff																												Neg																												Neg","2-1																															NEG"
Michigan HM,NYU ST,"Tommye Weddington																																		Jazmine Pickens																																		Sydney Pasquinelli","Neg																												Neg																												Aff","2-1																															NEG"
Emory GK,,,Aff BYE,Aff BYE
Cal State Fullerton BW,,,Aff BYE,Aff BYE
Southern California KS,,,Aff BYE,Aff BYE
Dartmouth TV,,,Aff BYE,Aff BYE
Michigan PR,,,Aff BYE,Aff BYE
Harvard AF,,,Aff BYE,Aff BYE
Kansas MR,,,Aff BYE,Aff BYE
Northwestern FW,,,Aff BYE,Aff BYE
Wake Forest KM,,,Aff BYE,Aff BYE
Michigan PS,,,Aff BYE,Aff BYE
Emory PR,,,Aff BYE,Aff BYE
Michigan MM,,,Aff BYE,Aff BYE
Texas DW,,,Aff BYE,Aff BYE
Rutgers-Newark OA,,,Aff BYE,Aff BYE
Kansas BF,,,Aff BYE,Aff BYE
Wake Forest FH,,,Aff BYE,Aff BYE
