Aff,Neg,Judges,Votes,Result
Pittsburgh OM,Michigan HS,"Jackie Poapst																																		Jason Regnier																																		Nick Lepp","Aff																												Neg																												Aff","2-1																															AFF"
Liberty WW,Kansas SP,"Brent Lamb																																		Ryan Galloway																																		Adrienne Brovero","Aff																												Neg																												Neg","2-1																															NEG"
