Aff,Neg,Judges,Votes,Result
Emory GK,Wake Forest FH,"Brandon Boyce																																		Jackie Poapst																																		Julia Henry																																		Jesse Keleman																																		Michelle Borbon","Aff																												Aff																												Neg																												Aff																												Aff","4-1																															AFF"
Kentucky EI,Rutgers-Newark AH,"Mikaela Malsin																																		John Turner																																		Viveth Karthikeyan																																		Taylor Brough																																		Kevin Hirn","Neg																												Aff																												Aff																												Aff																												Neg","3-2																															AFF"
Dartmouth TV,Wake Forest BD,"Allison Harper																																		Shree Awsare																																		Calum Matheson																																		Corey Fisher																																		Devane Murphy","Aff																												Aff																												Aff																												Aff																												Aff","5-0																															AFF"
Georgetown MW,Michigan PR,"Casey Harrigan																																		Anthony Trufanov																																		Brett Bricker																																		Carly Wunderlich																																		Scott Phillips","Neg																												Neg																												Neg																												Aff																												Neg","4-1																															NEG"
