Aff,Neg,Judge,Result,"Aff								Points","Neg								Points"
Michigan MM,Rochester AM,Gabriel Morrison,Aff,"jeremy m																																																												29																																																																												Ethan M																																																												29","Ben M																																																												29																																																																												Ali A																																																												29"
Oklahoma RS,Harvard/Amherst GM,Jacinda Rivas,Neg,"Brandon R																																																												28																																																																												Isaac S																																																												28","Chris G																																																												28																																																																												Rishi M																																																												29"
Wake Forest CT,Southern California FY,Rob Glass,Aff,"Sekou C																																																												29																																																																												Iyana T																																																												29","Taha F																																																												28																																																																												Srinidhi Y																																																												28"
Minnesota/Central Oklahoma SW,Kansas SM,Christopher Callahan,Neg,"Kyle W																																																												28																																																																												Kevin S																																																												28","William S																																																												29																																																																												Zaki M																																																												29"
UC Berkeley EE,Trinity NR,Lauren Pepper,Aff,"Michael E																																																												29																																																																												Mark E																																																												29","Loic R																																																												29																																																																												Kenneth N																																																												29"
Gonzaga MH,Michigan State BK,Jasmine Stidham,Aff,"Molly M																																																												29																																																																												Avalyn H																																																												29","David K																																																												28																																																																												Rylee B																																																												29"
Texas DW,Louisville BY,Nicholas Lassen,Neg,"Zachary W																																																												30																																																																												Het D																																																												29","Deontrey Y																																																												30																																																																												Raveen B																																																												29"
Cornell AL,Minnesota JP,Rebecca Steiner,Neg,"Zion A																																																												28																																																																												Richard L																																																												29","Hamza J																																																												29																																																																												Owen P																																																												29"
UC Berkeley WF,Emory GM,Habiba Ahmed,Aff,"Katie W																																																												29																																																																												Nick F																																																												30","Henry M																																																												29																																																																												Adrian G																																																												29"
Wayne State IR,Kansas State TT,LaToya Green,Aff,"Irshad R																																																												29																																																																												Anton G																																																												29","Ben T																																																												29																																																																												Trevor T																																																												29"
Southern California KS,Emory MS,Tommye Weddington,Neg,"Julian K																																																												29																																																																												Kevin S																																																												29","Kareem S																																																												29																																																																												Shivan M																																																												29"
Cal State Fullerton RH,Georgetown GL,Jada Stinnett,Aff,"Yardley R																																																												30																																																																												Javier H																																																												30","Kieran L																																																												29																																																																												Josh G																																																												29"
Northwestern LS,Michigan State AM,Johnnie Stupek,Neg,"Jack L																																																												29																																																																												Nikola (Nik) S																																																												29","Duvall A																																																												29																																																																												Piper M																																																												29"
Michigan PS,Binghamton AM,Duncan McCallum,Aff,"Brandon S																																																												29																																																																												Kelly P																																																												29","Kate M																																																												29																																																																												Ronak A																																																												29"
Harvard AH,Rutgers-Newark AH,Allie Chase,Aff,"Julian H																																																												30																																																																												Samar A																																																												30","David A																																																												30																																																																												ryan h																																																												30"
Kansas MR,Houston FL,James Taylor,Aff,"Nate M																																																												29																																																																												Graham R																																																												29","Patrick F																																																												29																																																																												Gabrielle L																																																												28"
Kansas PL,Binghamton PP,Jazmine Pickens,Aff,"Jimin P																																																												29																																																																												Miles L																																																												29","Harrison P																																																												29																																																																												Rosalisy P																																																												29"
Dartmouth TV,Northwestern FW,Douglas Husic,Aff,"Raam T																																																												30																																																																												Tyler V																																																												30","Nina F																																																												30																																																																												Timothy W																																																												29"
Minnesota GJ,Southern California JH,John Turner,Aff,"Matthew G																																																												28																																																																												Nolan J																																																												28",28
Dartmouth MS,Cal State Fullerton BW,Izak Gallini-Matyas,Aff,"Nicholas M																																																												29																																																																												Arvind S																																																												29","Jared B																																																												29																																																																												Vontrez W																																																												29"
Emory BW,Wayne State BR,Derek Hilligoss,Neg,"Aman B																																																												28																																																																												Kristopher W																																																												28","Brandon R																																																												28																																																																												Luke B																																																												29"
Navy LR,Emory PR,Brandon Kelley,Neg,"Will L																																																												29																																																																												Kathleen R																																																												29","Andrew P																																																												29																																																																												Shreyas R																																																												29"
Wyoming/Columbia PD,Michigan DS,Miles Gray,Neg,"Ec P																																																												29																																																																												Amadea D																																																												29","Kelly S																																																												29																																																																												Bennett D																																																												29"
NYU ST,Emory HR,Lawrence Zhou,Aff,"Alex S																																																												29																																																																												Eugene T																																																												29","Elijah R																																																												29																																																																												Catherine H																																																												29"
Harvard OY,Georgetown NW,Flynn Makuch,Aff,"Lynn Y																																																												29																																																																												Oge O																																																												29","Zidao W																																																												29																																																																												Ernest N																																																												29"
Minnesota DH,Wake Forest AW,Will Baker,Neg,"Syd H																																																												29																																																																												Ryan D																																																												28","DJ W																																																												29																																																																												Brianna A																																																												29"
Georgetown AG,Michigan RV,Patrick Kennedy,Neg,"Ethan G																																																												28																																																																												Kelly A																																																												28","Thomas V																																																												29																																																																												KJ R																																																												29"
Minnesota FR,Central Oklahoma CH,Richard Garner,Aff,"Josiah F																																																												29																																																																												Bryce R																																																												29","Grant C																																																												29																																																																												Zach H																																																												29"
Dartmouth HV,Wyoming MR,Gabriel Morbeck,Neg,"Eric H																																																												28																																																																												Jenny V																																																												28","Kiana R																																																												28																																																																												Joshua M																																																												29"
Wayne State MR,Cal State Fullerton JP,Hayden Uihlein,Aff,"Kiara R																																																												29																																																																												Tatianna M																																																												29","Evan J																																																												28																																																																												Bryan P																																																												28"
Wake Forest KT,West Georgia DS,Darcell Brown,Aff,"Asya T																																																												29																																																																												Nate K																																																												29","Deon D																																																												29																																																																												Regina S																																																												29"
Dartmouth SS,Kansas PS,Harry Aaronson,Neg,"Ali S																																																												29																																																																												Ellie S																																																												29","Jet S																																																												29																																																																												Raina P																																																												29"
George Mason MD,Kansas BF,James Allan,Neg,"Ian M																																																												29																																																																												Jack D																																																												29","Ross F																																																												29																																																																												Azja B																																																												29"
Houston GK,,,Aff BYE,Aff BYE,
Dartmouth LW,CSU Long Beach TF,Geoff Lundeen,Aff,"Victor W																																																												29																																																																												Zoella L																																																												29","Diego F																																																												29																																																																												Rachel T																																																												29"
Michigan PR,Kansas MS,Nathan Fleming,Aff,"Rafael P																																																												30																																																																												Giorgio R																																																												30","Michael S																																																												30																																																																												Mickey M																																																												29"
