Aff,Neg,Judges,Votes,Result
Michigan State AM,Michigan PR,"Harry Aaronson																																		Theo Noparstak																																		Jacob Hegna","Neg																												Neg																												Neg","3-0																															NEG"
Dartmouth GS,Wake Forest FH,"Shree Awsare																																		Corey Fisher																																		Will Baker","Neg																												Neg																												Neg","3-0																															NEG"
Kansas BF,Pittsburgh OM,"Taylor Brough																																		Ignacio Evans																																		Anthony Joseph","Neg																												Aff																												Neg","2-1																															NEG"
Kansas SS,Michigan PS,"Nathan Rothenbaum																																		Nathan Fleming																																		Joe Weideman","Neg																												Aff																												Neg","2-1																															NEG"
Kentucky DG,Rutgers-Newark OA,"Ned Gidley																																		Mikaela Malsin																																		Jackie Poapst","Neg																												Neg																												Neg","3-0																															NEG"
Wake Forest KM,Kansas SM,"Miles Gray																																		Viveth Karthikeyan																																		Tyler Thur","Neg																												Aff																												Aff","2-1																															AFF"
Minnesota FR,Cal State Fullerton BW,"Justin Green																																		Caitlin Walrath																																		Alaina Walberg","Neg																												Neg																												Neg","3-0																															NEG"
Michigan HS,Emory GK,"Genevieve Hackman																																		Michelle Borbon																																		Maggie Solice","Neg																												Neg																												Neg","3-0																															NEG"
Southern California KS,UC Berkeley WB,"Allison Harper																																		Kevin Clarke																																		David Kilpatrick","Aff																												Neg																												Neg","2-1																															NEG"
Michigan MM,Georgetown MW,"Casey Harrigan																																		Habiba Ahmed																																		Christopher Callahan","Neg																												Aff																												Neg","2-1																															NEG"
NYU ST,Northwestern FW,"Brian Klarman																																		Tommye Weddington																																		Richard Garner","Neg																												Neg																												Neg","3-0																															NEG"
Michigan State GS,Kansas MR,"Edward Lee																																		Michael Wimsatt																																		Kurt Fifelski","Neg																												Neg																												Neg","3-0																															NEG"
Harvard AF,Houston FL,"James Mollison																																		Brian Rubaie																																		Nicholas Tilmes","Aff																												Aff																												Aff","3-0																															AFF"
Texas DW,Kansas MS,"Zahir Shaikh																																		Kevin Hirn																																		Dustin Meyers-Levy","Neg																												Neg																												Aff","2-1																															NEG"
Emory PR,Emory GM,,,
Dartmouth TV,Dartmouth SW,,,
