Aff,Neg,Judges,Votes,Result
UC Berkeley BW,Michigan MM,"Connor Munsinger																																		Tom Gliniecki																																		Jackie Poapst","Neg																												Aff																												Aff","2-1																															AFF"
Michigan PS,Dartmouth SS,"David Cram Helwich																																		Nathan Fleming																																		Miles Gray","Aff																												Aff																												Aff","3-0																															AFF"
