Aff,Neg,Judges,Votes,Result
Dartmouth TV,Emory GK,"Anthony Trufanov																																		Gabriel Jankovsky																																		Jacob Hegna","Aff																												Aff																												Aff","3-0																															AFF"
Kansas BF,Rutgers-Newark HA,"Brianna Thomas																																		Amber Kelsie																																		Vida Chiri","Aff																												Neg																												Neg","2-1																															NEG"
Michigan PR,Kansas PO,"Harry Aaronson																																		Jeff Buntin																																		Theo Noparstak","Aff																												Aff																												Aff","3-0																															AFF"
Harvard AH,Northwestern FL,"Casey Harrigan																																		Kevin Hirn																																		Nathan Rothenbaum","Neg																												Neg																												Aff","2-1																															NEG"
Kansas MR,Trinity GN,"Michelle Borbon																																		Viveth Karthikeyan																																		Kristen Lowe","Aff																												Neg																												Neg","2-1																															NEG"
Kansas SM,Wake Forest FH,"Matt Liu																																		John Turner																																		Jackie Poapst","Neg																												Neg																												Neg","3-0																															NEG"
Wake Forest BD,Southern California KS,"Michelle Thomas																																		Devane Murphy																																		Elijah Smith","Neg																												Neg																												Neg","3-0																															NEG"
Kentucky EG,Wake Forest KM,"Edward Lee																																		Kurt Fifelski																																		Valerie McIntosh","Aff																												Neg																												Neg","2-1																															NEG"
