Aff,Neg,Judges,Votes,Result
Liberty CP,Liberty MM,,Liberty CP advances,Liberty CP advances
Houston LV,NYU FT,"Hunter McCullough																																		Orion Steele																																		Jeleesa Omala","Aff																												Neg																												Aff","2-1																															AFF"
