Aff,Neg,Judges,Votes,Result
Chaminade AH,CK McClatchy GT,"Tim Ellis																																		Anirudh Prabhu																																		Terrell Taylor","Aff																												Aff																												Aff","3-0																															AFF"
Bellarmine  HM,Northside  RS,,Bellarmine  HM advances,Bellarmine  HM advances
