Aff,Neg,Judge,Result
Bronx Science PK,Stuyvesant HQ,Hollis Fox,Neg
Leon Goldstein BM,Brooklyn Technical BA,James Hanley,Neg
Eagan LS,Lexington KT,Wasim Rahaman,Neg
ADL BT,McDonogh HW,Dara Davis,Aff
Lexington HV,Newark Tech TN,Alaina Walberg,Neg
Stuyvesant NR,Lexington FR,Spencer Williams,Aff
Strath Haven MY,Stuyvesant HN,Rishi Mukherjee,Aff
Sonoma KP,St Ignatius AN,Ross Fitzpatrick,Aff
Stuyvesant LL,Calvert Hall BL,Jake Lee,Neg
Leon Goldstein CS,,,Aff FFT
Bronx Science BT,Georgetown Day BS,William Cheung,Neg
Mamaroneck TP,,,Aff BYE
Oak Park and River Forest RB,Lexington IK,Lani Frazer,Neg
Newark Tech DW,St Ignatius CD,Eugene Toth,Aff
DuVal SA,Brooklyn Technical SA,Carlos Astacio,Neg
SWW CE,Calvert Hall BS,Michael Lu,Aff
Thomas Jefferson HSST HT,DuVal NR,Robin Forsyth,Aff
SF Roosevelt LT,Barstow BM,Maggie Eby,Aff
Mamaroneck LS,Stuyvesant HC,Chris Jun,Aff
Stuyvesant HoCh,Georgetown Day MW,Queen LouAllen,Neg
Thomas Jefferson HSST PL,Edgemont Junior-Senior FP,Daniel Wakefield,Neg
Bronx Science SD,Calvert Hall IM,Emily Qiu,Aff
Brooklyn Technical BH,Baltimore City PP,Kassie Colon,Aff
Calvert Hall CS,Barstow LL,Gabriel Ritter,Neg
Thomas Jefferson HSST BY,Bronx Science CM,Darcell Brown,Aff
Unionville PA,Bronx Science FV,Jorman Antigua,Neg
CR North FP,McDonogh RS,Isaac Segal,Neg
Baltimore City DS,Hyattsville Independent MF,Nick Lepp,Neg
Thomas Jefferson HSST XD,Lexington KS,Darrian Carroll,Aff
