Aff,Neg,Judge,Result,"Aff								Points","Neg								Points"
Chaminade BK,Kent Denver CM,Mac Cronin,Aff,"Ellya K																																																												29																																																																												Dylan B																																																												30","Connor C																																																												29																																																																												Katja M																																																												29"
Damien AD,Head Royce RK,Molly Martin,Aff,"Cody A																																																												29																																																																												Omar D																																																												29","Lisa K																																																												29																																																																												Vikram R																																																												29"
Notre Dame KS,New Trier RW,Kevin Sun,Neg,"Brian S																																																												29																																																																												Seamus K																																																												29","Daniel R																																																												29																																																																												Nicholas W																																																												29"
West HS SLC SW,Notre Dame DP,Tommye Weddington,Aff,"Taisei S																																																												28																																																																												Ethan W																																																												28","Olivia D																																																												28																																																																												Madeleine P																																																												28"
Interlake CC,Ferris KO,Azja Butler,Neg,"Nora C																																																												29																																																																												Vincent C																																																												28","Emma O																																																												29																																																																												Jordan K																																																												29"
Peninsula GR,West Campus MT,Elliot McMillan,Neg,"Vsevolod G																																																												28																																																																												Pradyuman R																																																												28","Abby M																																																												29																																																																												Salvador T																																																												28"
George Washington BW,Rowland Hall AL,Cat Jacob,Neg,"Everett W																																																												28																																																																												Sean B																																																												28","Ruchi A																																																												28																																																																												Samantha L																																																												29"
Niles West DS,Copper Hills LB,Mike Bausch,Aff,"Abhi S																																																												29																																																																												Randall D																																																												29","Lorilei L																																																												29																																																																												Faith B																																																												28"
CK McClatchy BG,Damien DT,Arnav Gupta,Aff,"Eden G																																																												29																																																																												Kayla B																																																												29","Brendan T																																																												29																																																																												Nolan D																																																												29"
Madison East JK,Salem Hills HR,Carl Jacobsen,Aff,"Ellis K																																																												28																																																																												Julian J																																																												28","Kaia H																																																												28																																																																												Tate R																																																												28"
Interlake GQ,OES TZ,Larry Dang,Aff,"Jessica Q																																																												29																																																																												Hari G																																																												29","Pranav T																																																												29																																																																												Catherine Z																																																												28"
Pocatello WB,Rigby PS,Gloria Sachdev,Aff,"Allison B																																																												28																																																																												Daniel W																																																												29","Peyton P																																																												27																																																																												Paxton S																																																												26"
Rowland Hall KD,McQueen LR,Evan Alexis,Neg,"George D																																																												29																																																																												Zachary K																																																												29","Mia L																																																												30																																																																												Thomas R																																																												30"
Kent Denver AT,George Washington ST,Josh Lamet,Neg,"Marcus T																																																												28																																																																												Arian A																																																												28","Ethan S																																																												28																																																																												Alex T																																																												28"
George Washington PF,New Trier DG,Catherine Haus,Aff,"Claudia F																																																												29																																																																												Ben P																																																												29","Iman D																																																												28																																																																												Matthew G																																																												28"
Interlake CP,Meadows IW,Chris Paredes,Aff,"Sanchari P																																																												29																																																																												Brian C																																																												29","Madelyn W																																																												28																																																																												Sabrinna I																																																												28"
Nevada Union GW,New Trier JW,Caitlin Walrath,Aff,"Evelyn G																																																												29																																																																												Jackson W																																																												29","Margaret J																																																												29																																																																												Brendan W																																																												29"
Gunn OS,CK McClatchy PS,Donny Peters,Aff,"Jared S																																																												29																																																																												Bess O																																																												29","Allyson S																																																												29																																																																												Ethan P																																																												29"
Highland PA,Head Royce JS,Andres Torres,Neg,"Donald A																																																												28																																																																												Devery P																																																												28","Francis J																																																												28																																																																												Nick S																																																												28"
Okemos LH,College Prep HG,abdus najmi,Neg,"Stephanie H																																																												28																																																																												Amy L																																																												28","Ashley G																																																												28																																																																												Sabrina H																																																												28"
Gulliver Prep LR,Peninsula LL,Peter Chase,Neg,"Alexis R																																																												28																																																																												Ava L																																																												29","Kevin L																																																												29																																																																												Devin L																																																												29"
Rowland Hall SH,New Trier GS,Julian Bellavita,Aff,"Layla H																																																												29																																																																												Julia S																																																												29","Rockwell S																																																												28																																																																												Samantha G																																																												28"
Damien BL,Carmel MM,David Zin,Aff,"Jackson B																																																												28																																																																												Stephen L																																																												29","Sage M																																																												29																																																																												Jade M																																																												28"
Presentation MC,Rigby MS,Mark A. Hernandez Sr.,Aff,"Isha C																																																												28																																																																												Harshini M																																																												28","Lupita S																																																												27																																																																												Christian M																																																												28"
Pocatello MS,Salem Hills BR,Malone Urfalian,Aff,"Matthew S																																																												28																																																																												Kai M																																																												28","Isaac B																																																												28																																																																												Sahaja R																																																												28"
Meadows GW,Salem Hills MQ,Denise Carmona,Neg,"Kadance G																																																												28																																																																												Taylor W																																																												28","Camden M																																																												28																																																																												Timothy Q																																																												28"
Lane Tech  NP,Head Royce SR,Dan Stanfield,Aff,"Campbell N																																																												29																																																																												Sam P																																																												30","Riley R																																																												29																																																																												Preston S																																																												29"
Notre Dame AY,West HS SLC PS,Steve Rowe,Aff,"Luka A																																																												29																																																																												Andrew Y																																																												28","Robert P																																																												29																																																																												Ishan S																																																												29"
Peninsula SY,Juan Diego Catholic MB,Madeline Reese,Aff,"Sanoja S																																																												29																																																																												Chris Y																																																												29","Henry B																																																												28																																																																												Andrea M																																																												29"
Salem Hills RK,Copper Hills RL,Devon Reese,Aff,"Jared K																																																												28																																																																												Bradford R																																																												28","Jose R																																																												28																																																																												Nathan L																																																												28"
West HS SLC ML,Niles West BB,Sophia Dal Pra,Neg,"Marianne L																																																												28																																																																												Cleo M																																																												29","Dulguun B																																																												29																																																																												Ephraim B																																																												29"
Corner Canyon WT,,,Aff BYE,Aff BYE,
Alpharetta NS,Notre Dame DN,Kristen Lu,Neg,"Hargunn S																																																												29																																																																												Advait N																																																												29","Sarah D																																																												29																																																																												Nikhil N																																																												29"
Eastlake PY,"Young Genius, Bay Area PC",Zachary Lim,Aff,"Anton P																																																												28																																																																												Benjamin Y																																																												28","Sehwan P																																																												28																																																																												Draven C																																																												28"
Ferris CM,Lynbrook YD,Roman Kezios,Neg,"Zach C																																																												29																																																																												Emma M																																																												29","Arnav D																																																												29																																																																												Soohyuk Y																																																												29"
George Washington MB,Pocatello GS,Iyana Trotman,Aff,"Andrew B																																																												29																																																																												Zia M																																																												29","Neelam G																																																												28																																																																												Maya S																																																												28"
