Aff,Neg,Judges,Votes,Result
Pine Crest ER,Walter Payton MW,"Brad Meloche																																		Wasim Rahaman																																		Dana Randall","Neg																												Neg																												Aff","2-1																															NEG"
Northside  DS,Carrollton School of the Sacred Heart DB,"Maggie Rivera																																		Jeremy Hammond																																		Arjun Patel","Aff																												Aff																												Aff","3-0																															AFF"
