Aff,Neg,Judges,Votes,Result
SWW CE,Gilman GM,"Tara Bhagat																																		Sreya Yadlapalli																																		Brendon Morris","Neg																												Neg																												Neg","3-0																															NEG"
Thomas Jefferson HSST PL,Brooklyn Technical BA,"Colin Downes																																		Larry Dang																																		Robin Forsyth","Aff																												Aff																												Neg","2-1																															AFF"
Mamaroneck MD,,,,
Stuyvesant EP,,,,
West HS SLC PS,,,,
Mamaroneck LP,,,,
Leon Goldstein SB,,,,
Kickapoo KM,,,,
Lexington RF,,,,
Calvert Hall CB,,,,
Mamaroneck DT,,,,
James Madison SY,,,,
Mamaroneck LS,,,,
Mamaroneck BO,,,,
Strath Haven RY,,,,
Westchester Independent BZ,,,,
