Aff,Neg,Judges,Votes,Result
Interlake GQ,New Trier RW,"Anthony Winchell																																		Josh Lamet																																		Maddie Pieropan","Aff																												Aff																												Neg","2-1																															AFF"
Head Royce RK,Lane Tech  NP,"Caitlin Walrath																																		Dan Stanfield																																		Joshua Michael","Aff																												Aff																												Aff","3-0																															AFF"
Interlake CP,Nevada Union GW,"Catherine Haus																																		Mac Cronin																																		Jordan Di","Aff																												Aff																												Aff","3-0																															AFF"
Gunn OS,Notre Dame KS,"Valerie McIntosh																																		Mark A. Hernandez Sr.																																		Cade Cottrell","Aff																												Neg																												Neg","2-1																															NEG"
