Aff,Neg,Judge,Result
Eagan LS,Mamaroneck LS,Raam Tambe,Aff
Glenbrook North BM,Bellarmine  HM,Matt Munday,Aff
Bronx Science FV,Notre Dame DN,Connor Warshauer,Aff
Montgomery Bell HM,Bellarmine  MT,Alex Pinheiro,Neg
Minneapolis South CC,Mamaroneck DR,Kevin Hirn,Aff
Georgetown Day LB,Liberal Arts and Science HW,Chris Thiele,Neg
Kent Denver MC,Taipei American BW,Austen Yorko,Neg
James Logan BM,Northside  RS,Dhruv Sudesh,Neg
Edina AA,Greenhill GR,Misty Tippets,Neg
Westside KS,Cypress Bay LL,Tim Lewis,Neg
Georgetown Day MW,Bellarmine  FU,Cat Jacob,Neg
Glenbrook South KK,Garfield PT,Chris Paredes,Neg
West HS SLC GR,Lawrence Free State MR,Valerie McIntosh,Aff
CK McClatchy BG,Presentation BS,Sydney Pasquinelli,Aff
Gunn OS,Westminster BW,Eleanor Sullivan,Aff
Peninsula RW,Lexington BY,Anirudh Prabhu,Neg
Northview AI,Glenbrook North BG,Yao Yao Chen,Neg
Washburn Rural PW,Bellarmine  IG,Arvind Shankar,Neg
Glenbrook South MJ,Coppell KC,Nae Edwards,Neg
Calvert Hall BL,Interlake CaPa,Theo Noparstak,Neg
Pine Crest ER,Montgomery Bell MP,Young Kwon,Neg
Caddo Magnet KL,North Broward Prep DR,Magi Ortiz,Neg
Barstow BM,Liberal Arts and Science GP,Mike Bausch,Neg
Bronx Science CM,Georgetown Day SB,Alex Sherman,Aff
Head-Royce KR,Montgomery Bell GY,Gordon Kochman,Aff
New Trier RW,Northside  DS,Joe Weideman,Neg
Mamaroneck PL,Ferris CM,Joseph Tierney,Aff
Blue Valley Northwest BM,Lexington TK,Arnav Gupta,Neg
New Trier JW,Chaminade AH,Tim Ellis,Aff
Interlake CP,Montgomery Bell PC,Allison Harper,Neg
Alpharetta SN,North Broward Prep GG,Steve Rowe,Neg
Nevada Union GW,Archbishop Mitty PA,Rahul Ramesh,Neg
Berkeley Prep ZK,Liberal Arts and Science MC,Maddie Pieropan,Aff
Lane Tech NP,Little Rock Central LP,Azja Butler,Neg
Interlake GQ,Damien DT,Eric Melin,Neg
Westminster YL,Berkeley Prep SS,Simon Weiss,Neg
Blue Valley Northwest RY,Lowell ST,Brian Roche,Aff
Oak Park and River Forest SR,Meadows HY,Dustin Meyers-Levy,Neg
New Trier HM,Walter Payton MW,Alex Brown,Aff
SF Roosevelt LT,Maine East PP,Kelly Phil,Neg
Liberal Arts and Science BR,Westwood YN,Joshua Michael,Aff
Westminster SB,Valley International Prep AU,KJ Reese,Neg
Mamaroneck RM,Little Rock Central GR,Shree Awsare,Neg
Peninsula FP,Greenhill FS,Jeff Buntin,Neg
Niles West BB,Mamaroneck BO,Brandon Stras,Aff
