Aff,Neg,Judges,Votes,Result
Lawrence Free S RM,Glenbrook North KM,"Carly Wunderlich																																		David Griffith																																		Matt Munday","Aff																												Aff																												Aff","3-0																															AFF"
Maine East PP,Westminster JY,"Jared Zuckerman																																		Tim Freehan																																		Alyssa Corrigan","Neg																												Aff																												Aff","2-1																															AFF"
New Trier RW,Blue Valley Nor MB,"Christopher Fry																																		KJ Reese																																		Abe Corrigan","Neg																												Aff																												Aff","2-1																															AFF"
Glenbrook North BC,Westminster KY,"Alan ivackovic																																		Bruce Najor																																		Ashton Smith","Aff																												Neg																												Aff","2-1																															AFF"
St Mark's Schoo BY,Oak Park and Ri SR,"Kevin McCaffrey																																		Wayne Tang																																		Will Katz","Aff																												Neg																												Aff","2-1																															AFF"
Northside Colle DS,New Trier JW,"Tim Ellis																																		Valerie McIntosh																																		Maggie Wells","Aff																												Neg																												Aff","2-1																															AFF"
Alpharetta SN,Northside Colle RS,"Margaret Strong																																		Michael Scott																																		Dustin Meyers-Levy","Aff																												Neg																												Aff","2-1																															AFF"
New Trier HM,,,,
