Aff,Neg,Judges,Votes,Result
Glenbrook North BG,Valley International Prep AU,"Chris Paredes																																		Kristen Lu																																		Alexa Tsai","Aff																												Aff																												Aff","3-0																															AFF"
Rowland Hall HS,Chelmsford ML,"Stephen Pipkin																																		Jax Rounds																																		Sean Lipps","Neg																												Aff																												Neg","2-1																															NEG"
Head-Royce RW,Damien DT,"Malone Urfalian																																		Rajeev Godse																																		Mike Shackelford","Aff																												Aff																												Aff","3-0																															AFF"
Chaminade BV,Notre Dame NC,"KJ Reese																																		Devin Anderson																																		Travis Cochran","Aff																												Aff																												Aff","3-0																															AFF"
