Aff,Neg,Judges,Votes,Result
Lawrence Free State HB,Solorio FB,"Colin Waldron																																		Ian de Wet																																		Nathaniel Sawyer","Aff																												Aff																												Aff","3-0																															AFF"
Glenbrook North KS,Lawrence Free State WR,"Lauren McBlain																																		Alex Mujtaba																																		Trinity Brockman","Neg																												Neg																												Neg","3-0																															NEG"
Woodward YM,Walter Payton WM,"Alex Brown																																		Wayne Tang																																		James Hanley","Neg																												Neg																												Neg","3-0																															NEG"
Woodward LT,Walter Payton SW,"Matt Zhang																																		Ashley Ellis																																		Margaret Strong","Aff																												Neg																												Aff","2-1																															AFF"
Maine East BV,Walter Payton HL,"Sydney Cohen																																		Utkarsh Pandey																																		Adam Marquardt","Neg																												Aff																												Neg","2-1																															NEG"
Iowa City CL,Lane Tech SM,"Mawuli Agbefe																																		Sophia Dal Pra																																		Mollie Hartenstein","Aff																												Neg																												Neg","2-1																															NEG"
Blue Valley Northwest MB,,,,
Plano Independent PD,,,,
