Aff,Neg,Judges,Votes,Result
Northside Colle DS,Lawrence Free S RM,"Christopher Fry																																		Aaron Kall																																		Grace Kessler","Aff																												Neg																												Aff","2-1																															AFF"
New Trier HM,Alpharetta SN,"Kevin McCaffrey																																		Wayne Tang																																		Ashton Smith","Aff																												Aff																												Aff","3-0																															AFF"
New Trier RW,Glenbrook North BC,"Tim Ellis																																		David Griffith																																		Bruce Najor","Aff																												Neg																												Aff","2-1																															AFF"
St Mark's Schoo BY,Maine East PP,"Jared Zuckerman																																		Tim Freehan																																		Dustin Meyers-Levy","Neg																												Neg																												Neg","3-0																															NEG"
