Aff,Neg,Judges,Votes,Result
Bronx Science DS,New Trier RW,"Sam Gustavson																																		Allegro Wang																																		Saif Salim","Neg																												Neg																												Neg","3-0																															NEG"
Northside  RS,Homestead PL,"Caitlin Walrath																																		Eva Farber																																		Jack Ding","Aff																												Aff																												Aff","3-0																															AFF"
Eagan LS,Lane Tech  NP,"Alex Brown																																		Stephen Lowe																																		Nina Fridman","Aff																												Aff																												Aff","3-0																															AFF"
Cypress Bay LR,Edina AA,"Arnav Gupta																																		Theo Noparstak																																		Chris Jun","Neg																												Neg																												Neg","3-0																															NEG"
Oak Park and River Forest SR,West HS SLC GR,"Valerie McIntosh																																		Stephen Pipkin																																		Alyssa Corrigan","Aff																												Aff																												Aff","3-0																															AFF"
Northside  DS,Glenbrook North BG,"Alan ivackovic																																		Will Kirby																																		David Griffith","Neg																												Neg																												Neg","3-0																															NEG"
Niles West BB,Glenbrook South KK,"Christopher Fry																																		James Hanley																																		Eleni Orfanos","Aff																												Aff																												Aff","3-0																															AFF"
Walter Payton MW,Lexington RF,"KJ Reese																																		Simon Sheaff																																		Rujuta Pandit","Aff																												Aff																												Aff","3-0																															AFF"
