Aff,Neg,Judges,Votes,Result
Northside  DS,Maine East BS,"Walter Lindwall																																		Leo Saenger																																		Lizzie Prete","Aff																												Aff																												Aff","3-0																															AFF"
Walter Payton HP,Liberal Arts and Science MC,"Conor Cameron																																		Arjun Patel																																		Matthew Sturt","Aff																												Aff																												Aff","3-0																															AFF"
Pine Crest ER,Woodward CH,"Kathryn Pham																																		Joe Weideman																																		Allegro Wang","Aff																												Aff																												Aff","3-0																															AFF"
