Aff,Neg,Judges,Votes,Result
Greenhill MS,Reagan AG,"Steve Pointer																																		Yubin Lee																																		Skye Spindler","Neg																												Neg																												Aff","2-1																															NEG"
Westwood YN,Plano East PD,"Rema Bhat																																		Emily Bosch																																		Vanuli Arya","Aff																												Neg																												Aff","2-1																															AFF"
Greenhill GR,Mount Pleasant TC,"Michael Shelton																																		Connor Mitchell																																		Dominik Lett","Aff																												Aff																												Aff","3-0																															AFF"
Reagan KR,CK McClatchy SP,"Allie Chase																																		Cody Morrow																																		Gavin Loyd","Neg																												Neg																												Neg","3-0																															NEG"
Blue Valley North PR,Washburn Rural PW,"Emma Kingston																																		Sam Shore																																		Riler Holcombe","Neg																												Neg																												Neg","3-0																															NEG"
Wichita East HW,Lawrence Free State WR,"Tim Ellis																																		Rafael Sanchez																																		Jimin Park","Neg																												Neg																												Neg","3-0																															NEG"
Blue Valley Northwest RY,Washburn Rural DJ,"Joshua Leffler																																		Benjamin Engle																																		Jack Moore","Aff																												Aff																												Aff","3-0																															AFF"
Minneapolis South NR,Lane Tech  NP,"Brian Box																																		Ben Zeppos																																		Bill Wilson","Neg																												Aff																												Aff","2-1																															AFF"
