Aff,Neg,Judge,Result
Lexington FR,Georgetown Day BS,Jake Lee,Neg
Calvert Hall IM,Unionville PA,Eleni Orfanos,Neg
Calvert Hall CS,Hyattsville Independent MF,Chris Jun,Neg
Strath Haven MY,Brooklyn Technical BH,Lisa McGraw,Neg
Bronx Science FV,Sonoma KP,Josh Moncure,Neg
Lexington HV,Eagan LS,Sean Lavelle,Neg
Brooklyn Technical SA,Stuyvesant NR,Tara Bhagat,Neg
Bronx Science CM,McDonogh HW,Rishi Mukherjee,Aff
McDonogh RS,Lexington KT,Robin Forsyth,Neg
Stuyvesant HC,Bronx Science BT,Emily Qiu,Aff
Stuyvesant HoCh,DuVal SA,Gabriel Ritter,Neg
Newark Tech TN,Calvert Hall BL,David Trigaux,Neg
Georgetown Day MW,Thomas Jefferson HSST XD,Jorman Antigua,Aff
Brooklyn Technical BA,Edgemont Junior-Senior FP,Michael Lu,Aff
SWW CE,DuVal NR,Lani Frazer,Aff
ADL BT,Barstow BM,Darrian Carroll,Neg
Thomas Jefferson HSST BY,Lexington IK,William Cheung,Neg
Thomas Jefferson HSST PL,Stuyvesant HN,Matt Harkins,Neg
St Ignatius AN,Bronx Science PK,Nicholas Mancini,Aff
Mamaroneck LS,Stuyvesant HQ,Jack Szulc-Donnell,Aff
Baltimore City PP,Oak Park and River Forest RB,Ross Fitzpatrick,Neg
Calvert Hall BS,Leon Goldstein CS,Amanda Pierson,Aff
,CR North FP,,Neg BYE
Bronx Science SD,SF Roosevelt LT,Darcell Brown,Neg
St Ignatius CD,Barstow LL,Nick Lepp,Neg
Stuyvesant LL,Leon Goldstein BM,Brandon Puchowitz,Neg
Thomas Jefferson HSST HT,Newark Tech DW,H Dylan Willett,Aff
Mamaroneck TP,Baltimore City DS,Isaac Segal,Aff
