AFF,NEG,Judges,Votes,Result
Lawrence Free State MR,Blue Valley West BW,"Spencer Culver																																		Mike Harris																																		Brian Box","AFF																												AFF																												AFF","3-0																															AFF"
Lawrence SV,Blue Valley Northwest MB,"Benton Bajorek																																		Catherine Magana																																		Carolyn Cook","NEG																												NEG																												NEG","3-0																															NEG"
Blue Valley West AD,Blue Valley Southwest SS,"Kelly Thompson																																		Chris Biswell																																		Royal Sullivan","AFF																												AFF																												AFF","3-0																															AFF"
Lawrence Free State BH,Blue Valley North TU,"David Kingston																																		Harun Khan																																		Sean Duff","AFF																												AFF																												AFF","3-0																															AFF"
Blue Valley North PR,Blue Valley Northwest RY,"Spencer Yost-Wolff																																		Matt Coleman																																		Parker Mitchell","NEG																												NEG																												NEG","3-0																															NEG"
Shawnee Mission East YH,Lawrence Free State WR,"Eleanor Mendelson																																		Ryan McFarland																																		Matthew Sturt","AFF																												NEG																												NEG","2-1																															NEG"
Shawnee Mission East LS,Lansing AS,"Kendall Kaut																																		Timothy Ellis																																		Ryan Snow","AFF																												AFF																												NEG","2-1																															AFF"
Blue Valley North FV,,,,
