Aff,Neg,Judges,Votes,Result
Lexington KT,Georgetown Day BS,"William Cheung																																		Thomas Pacheco																																		Matt Harkins","Neg																												Neg																												Neg","3-0																															NEG"
Brooklyn Technical BA,Brooklyn Technical SA,,Brooklyn Technical SA advances,Brooklyn Technical SA advances
