Aff,Neg,Judges,Votes,Result
Caddo Magnet KL,Glenbrook North BM,"Jordan Di																																		jeremy margolin																																		Rafael Pierry","Neg																												Aff																												Aff","2-1																															AFF"
Pine Crest ER,Montgomery Bell MP,"Maggie Wells																																		Mason Wang																																		Tyler Vergho","Neg																												Neg																												Neg","3-0																															NEG"
Westminster SB,Bellarmine  IG,"Michael Scott																																		Jeff Buntin																																		Kelly Phil","Aff																												Aff																												Aff","3-0																															AFF"
Northview IA,West HS SLC GR,"Izak Gallini-Matyas																																		Lizzie Prete																																		Giorgio Rabbini","Neg																												Aff																												Neg","2-1																															NEG"
Berkeley Prep KZ,Northside  DR,"Austen Yorko																																		Harrison Hall																																		Ethan Muse","Neg																												Neg																												Neg","3-0																															NEG"
Westminster YL,New Trier JW,"Stephen Pipkin																																		Brett Bricker																																		Kurt Fifelski","Aff																												Aff																												Aff","3-0																															AFF"
Calvert Hall BL,New Trier HM,"Anthony Trufanov																																		Lincoln Garrett																																		Jake Lee","Neg																												Neg																												Neg","3-0																															NEG"
Mamaroneck MR,Little Rock Central RG,"H Dylan Willett																																		Kevin Hirn																																		Dustin Meyers-Levy","Neg																												Aff																												Aff","2-1																															AFF"
