Aff,Neg,Judge,Result
St Ignatius CD,McDonogh HW,Josh Moncure,Neg
Stuyvesant HN,Oak Park and River Forest RB,Jack Szulc-Donnell,Neg
DuVal SA,Bronx Science BT,Hollis Fox,Neg
SF Roosevelt LT,Thomas Jefferson HSST HT,Isaac Segal,Aff
Lexington FR,McDonogh RS,Daniel Wakefield,Aff
,Calvert Hall IM,,Neg BYE
Sonoma KP,Calvert Hall BL,William Smelko,Neg
Baltimore City PP,Leon Goldstein CS,Nathan McTeer,Aff
Stuyvesant HQ,Hyattsville Independent MF,Sean Lavelle,Aff
Georgetown Day MW,Lexington IK,Dara Davis,Aff
Bronx Science FV,Thomas Jefferson HSST BY,Jake Lee,Aff
DuVal NR,Baltimore City DS,Eugene Toth,Aff
Brooklyn Technical BH,Barstow LL,Queen LouAllen,Aff
Unionville PA,Calvert Hall BS,David Trigaux,Neg
Barstow BM,Newark Tech TN,Matt Harkins,Neg
Calvert Hall CS,Stuyvesant LL,Emma Belanger,Aff
Lexington KT,Bronx Science CM,Tara Bhagat,Aff
St Ignatius AN,Mamaroneck LS,Peter Susko,Neg
Bronx Science SD,ADL BT,James Hanley,Neg
Edgemont Junior-Senior FP,Strath Haven MY,Eleni Orfanos,Neg
Stuyvesant HC,Eagan LS,Ross Fitzpatrick,Aff
CR North FP,Bronx Science PK,Darcell Brown,Neg
Lexington HV,Stuyvesant HoCh,Emily Bach,Aff
Leon Goldstein BM,Thomas Jefferson HSST XD,H Dylan Willett,Neg
Brooklyn Technical SA,SWW CE,Alaina Walberg,Aff
Stuyvesant NR,Brooklyn Technical BA,Chris Jun,Aff
Mamaroneck TP,Georgetown Day BS,Nick Lepp,Neg
Thomas Jefferson HSST PL,Newark Tech DW,Emily Chan,Aff
