Aff,Neg,Judge,Result
Edina AA,Peninsula FP,Wayne Tang,Aff
Peninsula RW,Coppell KC,Henry Mitchell,Neg
Mamaroneck BO,Presentation BS,Maggie Wells,Neg
Nevada Union GW,North Broward Prep GG,Cade Cottrell,Aff
Archbishop Mitty PA,Little Rock Central GR,Jyleesa Hampton,Neg
Valley International Prep AU,Lexington BY,Stefan Suben,Neg
Georgetown Day MW,New Trier JW,Magi Ortiz,Neg
Lowell ST,Lane Tech NP,Josh Clark,Neg
Mamaroneck PL,Chaminade AH,Simon Weiss,Neg
Berkeley Prep ZK,Caddo Magnet KL,Eleanor Sullivan,Neg
Blue Valley Northwest RY,Montgomery Bell GY,Parker Coon,Neg
Northside  RS,Glenbrook North BM,Ethan Muse,Neg
New Trier RW,Gunn OS,Christopher Fry,Aff
CK McClatchy BG,Calvert Hall BL,Brian Rubaie,Aff
Pine Crest ER,Greenhill GR,Allison Harper,Aff
West HS SLC GR,Mamaroneck RM,Kelly Phil,Neg
Lexington TK,Mamaroneck DR,Jeremy Margolin,Neg
Georgetown Day SB,Interlake CaPa,Nick Lepp,Neg
Bellarmine  MT,Liberal Arts and Science BR,Bernard Medeiros,Neg
Glenbrook South KK,Minneapolis South CC,Aidan Kane,Neg
Bellarmine  IG,Mamaroneck LS,Scott Wheeler,Aff
Damien DT,Barstow BM,Joshua Michael,Neg
Meadows HY,Bronx Science CM,Robin Forsyth,Aff
North Broward Prep DR,Bellarmine  HM,Larry Dang,Aff
Westside KS,Bronx Science FV,Parth Shah,Neg
Interlake GQ,Head-Royce KR,Terrell Taylor,Aff
James Logan BM,Georgetown Day LB,Brianna Aaron,Aff
Cypress Bay LL,Greenhill FS,Maddie Pieropan,Neg
Bellarmine  FU,Notre Dame DN,Andrew Pak,Aff
Taipei American BW,Westwood YN,Colton Gilbert,Neg
Ferris CM,Glenbrook North BG,KJ Reese,Neg
New Trier HM,Liberal Arts and Science GP,Dustin Meyers-Levy,Aff
Eagan LS,Lawrence Free State MR,Michael Scott,Neg
Liberal Arts and Science MC,Niles West BB,Tim Freehan,Aff
Northview AI,Westminster YL,Izak Gallini-Matyas,Aff
Montgomery Bell PC,Northside  DS,Johnnie Stupek,Neg
Oak Park and River Forest SR,Liberal Arts and Science HW,Kevin Hirn,Aff
Little Rock Central LP,SF Roosevelt LT,Eric Schwerdtfeger,Neg
Westminster BW,Montgomery Bell MP,Tyler Vergho,Neg
Washburn Rural PW,Glenbrook South MJ,Christina Phillips,Neg
Kent Denver MC,Blue Valley Northwest BM,Michelle Thomas,Neg
Maine East PP,Walter Payton MW,Jacob Goldschlag,Neg
Interlake CP,Berkeley Prep SS,Daniel Iskhakov,Aff
Westminster SB,Montgomery Bell HM,Tim Ellis,Aff
Alpharetta SN,Garfield PT,Yao Yao Chen,Aff
