Aff,Neg,Judges,Votes,Result
Mamaroneck MR,Caddo Magnet KL,"Tyler Vergho																																		jeremy margolin																																		Brandon Stras","Neg																												Neg																												Neg","3-0																															NEG"
New Trier HM,Montgomery Bell MP,"Stephen Lowe																																		Kevin Hirn																																		Rafael Pierry","Aff																												Neg																												Aff","2-1																															AFF"
Westminster SB,Westminster YL,,Westminster SB advances,Westminster SB advances
West HS SLC GR,Northside  DR,"Brad Meloche																																		Jeff Buntin																																		Giorgio Rabbini","Neg																												Aff																												Aff","2-1																															AFF"
