Aff,Neg,Judges,Votes,Result
Shawnee Mission East HS,Barstow BM,"Sean Duff																																		Emma Kingston																																		Henry Wright","Aff																												Aff																												Neg","2-1																															AFF"
Blue Valley West AD,Blue Valley Northwest RY,"Miles Luce																																		Solomon Park																																		Joshua Harrington","Aff																												Aff																												Aff","3-0																															AFF"
