Aff,Neg,Judges,Votes,Result
Harvard-Westlake RW,Montgomery Bell MP,"Kasi McCartney																																		Tyler Thur																																		Ansh Khullar","Neg																												Neg																												Aff","2-1																															NEG"
McQueen LR,New Trier HM,"Jacob Bosley																																		Carlos Henry Sr.																																		Mike Shackelford","Neg																												Neg																												Neg","3-0																															NEG"
Edina AA,Caddo Magnet LK,"Tommy Snider																																		Colin Quinn																																		Imran Makani","Aff																												Aff																												Aff","3-0																															AFF"
New Trier RW,Glenbrook North BM,"Sam Shore																																		Ashton Smith																																		Claire Carlson","Neg																												Neg																												Neg","3-0																															NEG"
Minneapolis South CC,Notre Dame KS,"Colton Gilbert																																		Brianna Aaron																																		Jyleesa Hampton","Aff																												Aff																												Neg","2-1																															AFF"
Maine East PP,West HS SLC GR,"Kevin McCaffrey																																		Jon Voss																																		Brad Meloche","Aff																												Aff																												Aff","3-0																															AFF"
Bellarmine  HM,Westwood NY,"Robin Forsyth																																		Jason Courville																																		Joshua Gonzalez","Aff																												Aff																												Aff","3-0																															AFF"
