Aff,Neg,Judge,Result
Maine East PP,Mamaroneck LP,Alex Brown,Aff
Jesuit MR,Peninsula FP,Tim Ellis,Neg
Westminster BW,Unionville PW,Kelly Thompson,Aff
Mamaroneck DR,Berkeley Prep ShSo,Erik Mathis,Aff
Niles West BB,Calvert Hall BL,Kevin McCaffrey,Neg
Pace SY,Univ Of Chicago Lab KO,Elyse Conklin,Neg
Montgomery Bell GY,Damien TD,Tim Freehan,Neg
Bellarmine  IG,Little Rock Central LP,Magi Ortiz,Neg
Glenbrook North BG,Univ Of Chicago Lab NB,Whit Whitmore,Aff
Oak Hall CD,Notre Dame GP,Robin Forsyth,Neg
Taipei American WL,Niles North BG,Abe Corrigan,Aff
Chaminade AH,L C Anderson KL,Jack Moore,Aff
Glenbrook North BM,Glenbrook South JM,Aidan Kane,Neg
Washburn Rural DJ,Montgomery Bell MH,Ashton Smith,Aff
St Mark's School of Texas YC,Berkeley Prep KZ,Yao Yao Chen,Neg
West HS SLC GR,Damien AD,Anirudh Prabhu,Aff
Peninsula RW,Bellarmine  HM,Aaron Kall,Neg
Jesuit BJ,Solorio RR,Wayne Tang,Aff
Maine East TS,North Broward Prep GG,Alex Kalams,Neg
Lawrence Free State MR,Glenbrook South KK,Kasi McCartney,Neg
Coppell KC,Westwood NY,Colton Gilbert,Aff
Little Rock Central GR,Lawrence Free State WR,Jyleesa Hampton,Aff
West HS SLC LM,Westwood CH,Alan Goldfarb,Neg
Notre Dame DN,Oak Hall ZG,Andrew Lopez,Aff
Taipei American WB,Presentation BS,Patrick McCleary,Aff
CK McClatchy GT,Westminster SB,Sean Park,Aff
Bronx Science CM,Liberal Arts and Science HW,Dan Stanfield,Aff
Caddo Magnet KL,Northside  RS,Peter Susko,Aff
Niles West DS,Washburn Rural PW,Ayla Kaufman,Aff
Liberal Arts and Science GP,Presentation DR,Sonny Patel,Aff
Georgetown Day MW,McDonogh MW,Daniel Iskhakov,Aff
