Aff,Neg,Judges,Votes,Result
New Trier RW,Walter Payton MW,"Caitlin Walrath																																		Alyssa Corrigan																																		Alex Pinheiro","Neg																												Aff																												Neg","2-1																															NEG"
Northside  RS,Niles West BB,"Nina Fridman																																		David Griffith																																		Rujuta Pandit","Aff																												Aff																												Aff","3-0																															AFF"
Glenbrook North BG,Eagan LS,"Alex Brown																																		Aaron Kall																																		Simon Sheaff","Neg																												Aff																												Neg","2-1																															NEG"
Edina AA,Oak Park and River Forest SR,"Wayne Tang																																		Theo Noparstak																																		Walter Lindwall","Aff																												Aff																												Neg","2-1																															AFF"
