Aff,Neg,Judges,Votes,Result
New Trier HM,New Trier RW,,New Trier HM advances,New Trier HM advances
Maine East PP,Northside Colle DS,"Kevin McCaffrey																																		Michael Scott																																		Dustin Meyers-Levy","Neg																												Neg																												Neg","3-0																															NEG"
