Aff,Neg,Judges,Votes,Result
Oak Park and River Forest SR,Montgomery Bell PC,"David Heidt																																		Ellis Chen																																		Johnnie Stupek","Neg																												Neg																												Neg","3-0																															NEG"
Westminster BW,Carrollton School of the Sacred Heart AA,"Suchetas Bokil																																		Ryan Galloway																																		Giorgio Rabbini","Aff																												Aff																												Aff","3-0																															AFF"
Montgomery Bell MH,Woodward TG,"Lee Quinn																																		Maggie Wells																																		Rebecca Steiner","Aff																												Neg																												Aff","2-1																															AFF"
Cypress Bay LK,Woodward HC,"Flynn Makuch																																		Tim Freehan																																		aden barton","Aff																												Aff																												Neg","2-1																															AFF"
