Aff,Neg,Judges,Votes,Result
Downtown Magnets AM,Glenbrook North BG,"Roman Kezios																																		Kristiana BÃ¡ez																																		Chris Paredes","Aff																												Neg																												Neg","2-1																															NEG"
Polytechnic HH,Chelmsford ML,"Chris Chang																																		Kristen Lu																																		Amadea Datel","Aff																												Neg																												Neg","2-1																															NEG"
Damien DT,OES CP,"Elliot McMillan																																		Kevin Hamrick																																		Tommye Weddington","Aff																												Neg																												Aff","2-1																															AFF"
Notre Dame AY,Chaminade BV,"KJ Reese																																		Devin Anderson																																		Julian Kuffour","Neg																												Neg																												Neg","3-0																															NEG"
Notre Dame NC,Damien AD,"Parth Shah																																		Sean Lipps																																		Ian Beier","Aff																												Aff																												Aff","3-0																															AFF"
Head-Royce RW,Northwood FF,"Malone Urfalian																																		Ethan Muse																																		Travis Cochran","Aff																												Aff																												Aff","3-0																															AFF"
Damien HL,Rowland Hall HS,"Stephen Pipkin																																		Jax Rounds																																		Alexa Tsai","Neg																												Neg																												Neg","3-0																															NEG"
Valley International Prep AU,Notre Dame DP,"Bryan Gaston																																		Evan Alexis																																		Mike Shackelford","Aff																												Aff																												Aff","3-0																															AFF"
