Aff,Neg,Judge,Result
Barstow BM,St Ignatius CD,David Coates,Aff
Leon Goldstein CS,Stuyvesant LL,James Hanley,Neg
Bronx Science PK,Calvert Hall IM,Michael Lu,Aff
Leon Goldstein BM,Lexington KS,,"Aff BYE																									Neg FFT"
Georgetown Day BS,Bronx Science FV,Kassie Colon,Neg
Stuyvesant HQ,Thomas Jefferson HSST BY,Tara Bhagat,Neg
Thomas Jefferson HSST XD,Brooklyn Technical BA,Darcell Brown,Neg
Lexington IK,Newark Tech TN,Emily Chan,Neg
Stuyvesant NR,SWW CE,Rishi Mukherjee,Aff
McDonogh HW,Mamaroneck TP,William Smelko,Neg
Brooklyn Technical BH,Georgetown Day MW,Isaac Segal,Neg
Bronx Science BT,Lexington FR,H Dylan Willett,Neg
Oak Park and River Forest RB,Stuyvesant HoCh,Nick Lepp,Aff
DuVal SA,Lexington HV,Thomas Pacheco,Neg
DuVal NR,ADL BT,Alaina Walberg,Neg
Eagan LS,Baltimore City PP,Dara Davis,Aff
Hyattsville Independent MF,Strath Haven MY,Wasim Rahaman,Neg
Barstow LL,Bronx Science SD,Zhane Lloyd,Neg
Baltimore City DS,Calvert Hall BS,Jack Szulc-Donnell,Aff
Stuyvesant HN,Bronx Science CM,William Cheung,Neg
Lexington KT,Calvert Hall CS,Nicholas Mancini,Aff
Edgemont Junior-Senior FP,Mamaroneck LS,Jake Lee,Neg
Unionville PA,Stuyvesant HC,Darrian Carroll,Neg
Newark Tech DW,St Ignatius AN,Matt Harkins,Neg
CR North FP,Thomas Jefferson HSST PL,Josh Moncure,Neg
SF Roosevelt LT,Brooklyn Technical SA,Robin Forsyth,Neg
Sonoma KP,McDonogh RS,Jorman Antigua,Aff
Calvert Hall BL,Thomas Jefferson HSST HT,Chris Jun,Aff
