Aff,Neg,Judges,Votes,Result
Reagan AG,Coppell KC,"Maddie Pieropan																																		Donny Peters																																		Larry Dang","Neg																												Aff																												Neg","2-1																															NEG"
Notre Dame KS,Head Royce KR,"Malcolm Gordon																																		Charlie Clark																																		Ameena Ruffin","Aff																												Aff																												Aff","3-0																															AFF"
