AFF,NEG,Judges,Votes,Result
Lawrence Free State BH,Blue Valley North FV,"David Kingston																																		Timothy Ellis																																		Sean Duff","AFF																												NEG																												NEG","2-1																															NEG"
Lawrence Free State MR,Blue Valley Northwest MB,"Matt Coleman																																		Eleanor Mendelson																																		Brian Box","AFF																												NEG																												AFF","2-1																															AFF"
