Aff,Neg,Judges,Votes,Result
Reagan AG,Washburn Rural PW,"Cody Morrow																																		Connor Mitchell																																		Yubin Lee","Neg																												Neg																												Aff","2-1																															NEG"
Blue Valley Northwest RY,Lawrence Free State WR,"Joshua Leffler																																		Jimin Park																																		Jack Moore","Aff																												Aff																												Aff","3-0																															AFF"
