AFF,NEG,Judges,Votes,Result
Shawnee Mission East LS,Blue Valley North FV,"Timothy Ellis																																		Matt Coleman																																		Ryan McFarland","NEG																												NEG																												NEG","3-0																															NEG"
Lawrence Free State MR,Lawrence Free State WR,,Lawrence Free State MR advances,Lawrence Free State MR advances
Blue Valley Northwest MB,Blue Valley Northwest RY,,Blue Valley Northwest MB advances,Blue Valley Northwest MB advances
Blue Valley West AD,Lawrence Free State BH,"David Kingston																																		Nikola Helixon																																		Parker Mitchell","NEG																												NEG																												AFF","2-1																															NEG"
