Aff,Neg,Judges,Votes,Result
Valley International Prep AU,George Washington HC,"Nate Graziano																																		Evan Alexis																																		Colin Birkenstock","Neg																												Neg																												Neg","3-0																															NEG"
Jesuit MR,Lexington TK,"Sam Gustavson																																		Joshua Michael																																		Raam Tambe","Neg																												Neg																												Neg","3-0																															NEG"
Nevada Union GW,Lowell ST,"Adam Hall																																		Ana Bittner																																		Sophie Rahman","Aff																												Aff																												Aff","3-0																															AFF"
Downtown Magnets AM,Glenbrook South MJ,"Roman Kezios																																		Adam Lipton																																		jazmine pickens","Neg																												Neg																												Aff","2-1																															NEG"
Ferris CM,Interlake CF,"David Kilpatrick																																		Dan Stanfield																																		Mac Cronin","Neg																												Neg																												Neg","3-0																															NEG"
Elizabeth Learning Center PO,CK McClatchy BG,"Sara Parks																																		Sonya Zin																																		Mary Scholz","Aff																												Neg																												Neg","2-1																															NEG"
Notre Dame KA,Brooklyn Technical SD,"Kiara Pengue																																		Maddie Pieropan																																		Miles Owens","Aff																												Neg																												Aff","2-1																															AFF"
Interlake PP,Leland LZ,"Samantha Rosas																																		Israel Sandoval																																		Amber Brooks","Neg																												Aff																												Neg","2-1																															NEG"
Presentation BS,"Young Genius, Bay Area CB","Tommy Snider																																		Ethan Muse																																		Simon Weiss","Aff																												Aff																												Aff","3-0																															AFF"
ADL BT,Archbishop Mitty DR,"Debnil Sur																																		David Sposito																																		Ria Bhandarkar","Neg																												Neg																												Neg","3-0																															NEG"
Westminster SB,CK McClatchy SP,"Alexa Tsai																																		Natasha Tieu																																		Victoria Yonter","Aff																												Aff																												Aff","3-0																															AFF"
Peninsula SY,Kent Denver AH,"Tyler Vergho																																		Max Reese																																		Anthony Trufanov","Aff																												Aff																												Aff","3-0																															AFF"
Bellarmine  MT,Shark RW,"Scott Wheeler																																		Allen Kim																																		Dan Lingel","Aff																												Aff																												Aff","3-0																															AFF"
Bellarmine  IG,Stockdale SP,"Anthony Winchell																																		Marie Stebbings																																		Alex Myers","Aff																												Aff																												Aff","3-0																															AFF"
North Broward Prep DR,,,,
St Ignatius AN,,,,
Interlake GQ,,,,
Peninsula FP,,,,
Cypress Bay LL,,,,
Minneapolis South CC,,,,
Coppell KC,,,,
CK McClatchy AT,,,,
Westwood NY,,,,
Archbishop Mitty PA,,,,
Liberal Arts and Science GP,,,,
Bellarmine  HM,,,,
Chaminade AH,,,,
Lexington BY,,,,
McQueen LR,,,,
West HS SLC GR,,,,
Gunn OS,,,,
Notre Dame DN,,,,
