Aff,Neg,Judges,Votes,Result
CK McClatchy GT,Caddo Magnet KL,"Dhruv Sudesh																																		Terrell Taylor																																		Joshua Gonzalez","Aff																												Neg																												Aff","2-1																															AFF"
Glenbrook North BM,Bellarmine  HM,"Kasi McCartney																																		Erik Mathis																																		Carly Wunderlich","Neg																												Neg																												Aff","2-1																															NEG"
Northside  RS,Glenbrook South JM,"Anirudh Prabhu																																		Alan Goldfarb																																		Joseph Chicvak","Aff																												Neg																												Aff","2-1																															AFF"
Chaminade AH,Westminster SB,"Kevin McCaffrey																																		Tim Freehan																																		Aaron Kall","Aff																												Aff																												Aff","3-0																															AFF"
