Aff,Neg,Judges,Votes,Result
Mamaroneck LS,Minneapolis South CC,"Brandon Stras																																		Kareem Safieddine																																		Timothy Ellis","Neg																												Neg																												Neg","3-0																															NEG"
Peninsula FP,Rural Bluniors DJ,"Andrew Pak																																		Ben Jablonski																																		Jeff Buntin","Aff																												Aff																												Aff","3-0																															AFF"
CK McClatchy BG,Bellarmine  HM,"Jordan Di																																		Yao Yao Chen																																		shreyas rajagopal","Neg																												Neg																												Neg","3-0																															NEG"
Berkeley Prep SS,Westminster SB,"Matt Cekanor																																		Mason Marriott-Voss																																		Rosie Valdez","Neg																												Neg																												Neg","3-0																															NEG"
Greenhill FS,Maine East PP,"Eugenia Giampetruzzi																																		David Griffith																																		Allison Pujol","Aff																												Neg																												Aff","2-1																															AFF"
North Broward Prep DR,Liberal Arts and Science HW,"Joshua Michael																																		Azja Butler																																		Maggie Wells","Aff																												Neg																												Aff","2-1																															AFF"
New Trier HM,Lexington BY,"Sam Gustavson																																		Allie Chase																																		Kevin Hirn","Neg																												Aff																												Neg","2-1																															NEG"
Montgomery Bell PC,Oak Park and River Forest SR,"Ethan Muse																																		Valerie McIntosh																																		David Heidt","Aff																												Aff																												Aff","3-0																															AFF"
Coppell KC,Caddo Magnet KL,"Tommy Snider																																		Joshua Gonzalez																																		Zahir Shaikh","Neg																												Neg																												Aff","2-1																															NEG"
North Broward Prep GG,Little Rock Central LP,"Lily Ottinger																																		Kevin Lu																																		Magi Ortiz","Aff																												Aff																												Neg","2-1																															AFF"
Glenbrook North BM,New Trier RW,"Tyler Vergho																																		Nicholas Krauss																																		Grace Kessler","Neg																												Neg																												Aff","2-1																															NEG"
Little Rock Central GR,Montgomery Bell MP,"David Kilpatrick																																		Arvind Shankar																																		Shunta Jordan","Neg																												Aff																												Aff","2-1																															AFF"
Northview AI,Liberal Arts and Science GP,"Dan Stanfield																																		Greg Zoda																																		Isaac Segal","Aff																												Neg																												Neg","2-1																															NEG"
SF Roosevelt LT,Berkeley Prep KZ,"Colin Downes																																		Parth Shah																																		Eugene Toth","Neg																												Neg																												Aff","2-1																															NEG"
Glenbrook North BC,Mamaroneck DR,"Raam Tambe																																		Adrian Gushin																																		Zach Adam","Neg																												Neg																												Aff","2-1																															NEG"
Westwood NY,Glenbrook South MJ,"Christopher Vincent																																		Kenny Delph																																		Vishak Bandi","Neg																												Aff																												Neg","2-1																															NEG"
